iter	Passed	Remaining
0	135	134915
1	135	67692
2	136	45278
3	136	34097
4	137	27346
5	137	22849
6	138	19636
7	138	17231
8	139	15368
9	140	13868
10	140	12642
11	141	11621
12	141	10755
13	142	10014
14	142	9378
15	143	8828
16	144	8334
17	144	7895
18	145	7506
19	146	7162
20	146	6842
21	147	6547
22	147	6284
23	148	6038
24	149	5812
25	149	5608
26	150	5416
27	150	5235
28	151	5069
29	152	4916
30	152	4769
31	153	4630
32	153	4502
33	154	4382
34	154	4272
35	155	4165
36	156	4067
37	157	3976
38	157	3886
39	158	3801
40	159	3719
41	159	3639
42	160	3562
43	160	3491
44	161	3423
45	161	3356
46	162	3293
47	162	3231
48	163	3173
49	164	3116
50	164	3060
51	165	3008
52	165	2958
53	166	2909
54	166	2862
55	167	2817
56	167	2775
57	168	2732
58	168	2691
59	169	2652
60	170	2616
61	170	2583
62	171	2548
63	171	2513
64	172	2480
65	172	2447
66	173	2416
67	174	2386
68	174	2356
69	175	2326
70	175	2298
71	176	2271
72	176	2244
73	177	2218
74	177	2192
75	178	2168
76	178	2144
77	179	2121
78	179	2098
79	180	2075
80	181	2054
81	181	2032
82	181	2008
83	182	1988
84	183	1970
85	183	1953
86	184	1936
87	185	1918
88	185	1901
89	186	1883
90	186	1865
91	187	1848
92	188	1836
93	188	1820
94	189	1804
95	189	1788
96	190	1772
97	190	1757
98	191	1743
99	192	1728
100	192	1714
101	193	1700
102	193	1686
103	194	1674
104	194	1661
105	195	1649
106	196	1638
107	196	1625
108	197	1614
109	198	1602
110	198	1592
111	199	1581
112	200	1570
113	200	1560
114	201	1549
115	201	1539
116	202	1527
117	202	1516
118	203	1506
119	204	1496
120	204	1486
121	204	1475
122	205	1465
123	206	1456
124	206	1446
125	207	1437
126	207	1427
127	208	1419
128	208	1410
129	209	1401
130	209	1391
131	210	1383
132	210	1374
133	211	1366
134	212	1358
135	213	1354
136	213	1347
137	214	1340
138	215	1332
139	215	1325
140	216	1318
141	216	1309
142	217	1301
143	217	1294
144	218	1286
145	218	1279
146	219	1272
147	219	1265
148	220	1258
149	220	1251
150	221	1245
151	222	1238
152	222	1232
153	223	1225
154	223	1218
155	224	1212
156	224	1206
157	225	1201
158	226	1195
159	226	1189
160	227	1183
161	227	1178
162	228	1172
163	228	1166
164	229	1160
165	229	1154
166	230	1149
167	230	1143
168	231	1139
169	232	1133
170	233	1129
171	233	1124
172	234	1119
173	234	1114
174	235	1108
175	235	1104
176	236	1099
177	237	1094
178	237	1090
179	238	1085
180	238	1080
181	239	1076
182	240	1071
183	240	1067
184	241	1064
185	242	1060
186	242	1055
187	243	1051
188	244	1047
189	244	1043
190	245	1038
191	245	1034
192	246	1030
193	246	1026
194	247	1022
195	248	1017
196	248	1013
197	249	1009
198	249	1006
199	250	1001
200	251	998
201	251	994
202	252	991
203	253	987
204	253	983
205	254	979
206	254	975
207	255	972
208	256	969
209	256	966
210	257	963
211	258	960
212	259	957
213	259	953
214	260	949
215	260	946
216	261	942
217	261	939
218	262	935
219	262	931
220	263	928
221	264	925
222	264	922
223	265	919
224	265	916
225	266	912
226	267	909
227	267	906
