iter	Passed	Remaining
0	0	95
1	1	94
2	2	90
3	3	84
4	4	83
5	5	81
6	5	79
7	6	78
8	7	76
9	8	76
10	9	75
11	10	74
12	10	73
13	11	72
14	12	70
15	13	69
16	13	67
17	14	67
18	16	68
19	17	68
20	18	67
21	18	66
22	19	65
23	20	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	57
34	30	57
35	31	56
36	32	55
37	33	55
38	34	53
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	39	46
46	40	45
47	41	44
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	61	25
71	62	24
72	64	23
73	64	22
74	65	21
75	66	21
76	67	20
77	68	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
